Streaming output truncated to the last 5000 lines.
raw_id: 17624, bleu_score: 0.832038
raw_id: 17625, bleu_score: 0.945736
raw_id: 17626, bleu_score: 1.000000
raw_id: 17627, bleu_score: 1.000000
raw_id: 17628, bleu_score: 1.000000
raw_id: 17629, bleu_score: 1.000000
raw_id: 17630, bleu_score: 0.041390
raw_id: 17631, bleu_score: 1.000000
raw_id: 17632, bleu_score: 0.268017
raw_id: 17633, bleu_score: 0.193049
raw_id: 17634, bleu_score: 0.069172
raw_id: 17635, bleu_score: 0.537285
raw_id: 17636, bleu_score: 1.000000
raw_id: 17637, bleu_score: 0.319472
raw_id: 17638, bleu_score: 1.000000
raw_id: 17639, bleu_score: 0.328252
raw_id: 17640, bleu_score: 0.081706
raw_id: 17641, bleu_score: 0.041390
raw_id: 17642, bleu_score: 1.000000
raw_id: 17643, bleu_score: 1.000000
raw_id: 17644, bleu_score: 1.000000
raw_id: 17645, bleu_score: 1.000000
raw_id: 17646, bleu_score: 1.000000
raw_id: 17647, bleu_score: 1.000000
raw_id: 17648, bleu_score: 0.569268
raw_id: 17649, bleu_score: 1.000000
raw_id: 17650, bleu_score: 1.000000
raw_id: 17651, bleu_score: 0.408068
raw_id: 17652, bleu_score: 1.000000
raw_id: 17653, bleu_score: 1.000000
raw_id: 17654, bleu_score: 0.170653
raw_id: 17655, bleu_score: 0.368894
raw_id: 17656, bleu_score: 1.000000
raw_id: 17657, bleu_score: 0.022157
raw_id: 17658, bleu_score: 0.476310
raw_id: 17659, bleu_score: 1.000000
raw_id: 17660, bleu_score: 1.000000
raw_id: 17661, bleu_score: 0.334370
raw_id: 17662, bleu_score: 0.727245
raw_id: 17663, bleu_score: 1.000000
raw_id: 17664, bleu_score: 1.000000
raw_id: 17665, bleu_score: 1.000000
raw_id: 17666, bleu_score: 1.000000
raw_id: 17667, bleu_score: 1.000000
raw_id: 17668, bleu_score: 1.000000
raw_id: 17669, bleu_score: 1.000000
raw_id: 17670, bleu_score: 1.000000
raw_id: 17671, bleu_score: 1.000000
raw_id: 17672, bleu_score: 1.000000
raw_id: 17673, bleu_score: 1.000000
raw_id: 17674, bleu_score: 1.000000
raw_id: 17675, bleu_score: 1.000000
raw_id: 17676, bleu_score: 1.000000
raw_id: 17677, bleu_score: 1.000000
raw_id: 17678, bleu_score: 0.485492
raw_id: 17679, bleu_score: 1.000000
raw_id: 17680, bleu_score: 1.000000
raw_id: 17681, bleu_score: 0.267960
raw_id: 17682, bleu_score: 1.000000
raw_id: 17683, bleu_score: 0.476310
raw_id: 17684, bleu_score: 1.000000
raw_id: 17685, bleu_score: 1.000000
raw_id: 17686, bleu_score: 0.828248
raw_id: 17687, bleu_score: 1.000000
raw_id: 17688, bleu_score: 1.000000
raw_id: 17689, bleu_score: 1.000000
raw_id: 17690, bleu_score: 1.000000
raw_id: 17691, bleu_score: 0.707107
raw_id: 17692, bleu_score: 0.643459
raw_id: 17693, bleu_score: 0.405458
raw_id: 17694, bleu_score: 1.000000
raw_id: 17695, bleu_score: 0.772120
raw_id: 17696, bleu_score: 0.290715
raw_id: 17697, bleu_score: 1.000000
raw_id: 17698, bleu_score: 0.028662
raw_id: 17699, bleu_score: 1.000000
raw_id: 17700, bleu_score: 1.000000
raw_id: 17701, bleu_score: 1.000000
raw_id: 17702, bleu_score: 1.000000
raw_id: 17703, bleu_score: 0.086430
raw_id: 17704, bleu_score: 0.330316
raw_id: 17705, bleu_score: 0.778801
raw_id: 17706, bleu_score: 1.000000
raw_id: 17707, bleu_score: 1.000000
raw_id: 17708, bleu_score: 1.000000
raw_id: 17709, bleu_score: 0.281171
raw_id: 17710, bleu_score: 1.000000
raw_id: 17711, bleu_score: 1.000000
raw_id: 17712, bleu_score: 1.000000
raw_id: 17713, bleu_score: 1.000000
raw_id: 17714, bleu_score: 0.701206
raw_id: 17715, bleu_score: 0.596949
raw_id: 17716, bleu_score: 1.000000
raw_id: 17717, bleu_score: 1.000000
raw_id: 17718, bleu_score: 1.000000
raw_id: 17719, bleu_score: 0.513345
raw_id: 17720, bleu_score: 1.000000
raw_id: 17721, bleu_score: 1.000000
raw_id: 17722, bleu_score: 1.000000
raw_id: 17723, bleu_score: 0.131345
raw_id: 17724, bleu_score: 1.000000
raw_id: 17725, bleu_score: 1.000000
raw_id: 17726, bleu_score: 1.000000
raw_id: 17727, bleu_score: 0.172422
raw_id: 17728, bleu_score: 1.000000
raw_id: 17729, bleu_score: 0.537285
raw_id: 17730, bleu_score: 0.330316
raw_id: 17731, bleu_score: 1.000000
raw_id: 17732, bleu_score: 0.044569
raw_id: 17733, bleu_score: 1.000000
raw_id: 17734, bleu_score: 1.000000
